City Name,Latitude,Maximum Temperature (f),Humidity (%),Cloudiness(%),Wind Speed (mph)
Torbay,47.66,30.99,100,90,29.97
Saint-Philippe,45.36,19.99,67,90,9.17
Ushuaia,-54.81,48.2,70,75,25.28
Provideniya,64.42,-11.09,72,83,8.1
Hilo,19.71,80.6,61,90,17.22
Bluff,-23.58,90.79,38,74,13.69
Punta Arenas,-53.16,48.2,61,40,17.22
Klaksvik,62.23,48.2,100,100,16.11
Port Elizabeth,39.31,37.99,59,1,5.82
Barrow,-38.31,61.7,89,100,7.25
Busselton,-33.64,88.0,18,23,11.43
Saint George,39.45,42.8,45,75,20.8
Axim,4.87,72.45,60,42,1.92
Hermanus,-34.42,64.0,93,100,9.78
Toora-Khem,52.47,-3.17,93,86,1.54
Rikitea,-23.12,76.28,76,52,16.04
Vieux-Habitants,16.06,75.2,88,18,5.82
Qaanaaq,77.48,-25.26,51,74,2.95
Abu Dhabi,24.47,69.8,73,20,5.82
New Norfolk,-42.78,75.99,55,20,13.87
Kaa-Khem,51.7,-16.94,96,24,0.4
Okhotsk,59.36,5.38,79,0,9.13
Vallenar,-28.58,56.86,86,0,1.32
Yar-Sale,66.83,10.06,89,0,14.61
Albany,42.65,30.2,63,75,6.93
Ouadda,8.07,62.6,30,0,5.79
Chuy,-33.69,69.55,85,0,11.83
Lardos,36.09,55.0,87,75,1.12
Aswan,24.09,46.4,49,0,8.05
Veraval,49.65,42.8,81,90,8.05
Iralaya,15.0,80.96,80,68,17.02
Talaya,55.79,26.01,92,75,13.42
Ginda,30.69,42.19,41,100,2.91
Pangai,-19.8,84.2,70,20,11.41
Rawson,-43.3,61.61,59,93,16.02
Kalavad,22.21,60.8,63,0,6.93
Platnirovskaya,45.39,43.0,92,91,6.62
Show Low,34.25,48.0,48,1,10.29
Champerico,16.38,68.0,68,75,19.46
Lishu,43.31,28.65,79,100,9.86
Mokhsogollokh,61.4,6.26,96,100,2.01
Dunedin,-45.87,55.99,52,70,38.01
Avarua,-21.21,82.4,83,100,4.7
Upernavik,72.79,-30.44,96,94,15.59
Sioux Lookout,50.1,19.4,72,90,14.99
Kapaa,22.08,82.4,74,75,17.22
Severo-Kurilsk,50.68,26.65,91,99,8.43
Puerto Ayora,-0.74,75.99,82,0,5.01
Vaini,15.34,66.2,88,75,4.7
Cherskiy,68.75,-9.81,63,1,4.23
Canberra,-35.3,68.0,72,90,11.41
Surt,31.21,56.14,75,90,16.42
Port Alfred,-33.59,68.0,93,99,3.13
Kenai,60.55,0.0,83,20,8.05
Cape Town,-33.93,64.4,72,40,8.05
Nome,30.04,63.0,82,1,5.82
Guerrero Negro,27.97,63.05,50,83,7.16
Chokurdakh,70.62,-20.38,100,16,1.92
Quatre Cocos,-20.21,75.2,94,75,10.29
Great Yarmouth,52.61,46.0,81,3,9.17
Oranjemund,-28.55,59.0,93,12,4.9
Fort Nelson,58.81,-9.4,69,75,5.82
Airai,-8.93,81.5,53,100,4.97
Lukovetskiy,64.29,14.0,92,20,4.47
Bima,-8.45,86.61,61,79,3.51
Atuona,-9.8,79.9,78,63,10.71
Salinopolis,-0.61,82.08,76,65,10.85
Aligudarz,33.4,26.85,72,28,2.24
Valverde del Camino,37.57,46.99,75,0,1.99
